time,from_app,from_port,to_app,to_port,txbytes,txpackets,rxbytes,rxpackets,dropbytes,droppackets
1398852538.558982,tee,out2,filter,input,2683808887,16845079,2683808887,16845079,0,0
1398852538.558982,tee,out1,limit,input,2683808887,16845079,2683808887,16845079,0,0
1398852538.558982,nic2,tx,tee,in,2683808887,16845079,2683808887,16845079,0,0
1398852538.558982,filter,output,sink2,in,51581604,627768,51581604,627768,0,0
1398852538.558982,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852538.558982,limit,output,sink1,in,1978528771,12418473,1978528771,12418473,0,0
1398852539.557378,repeat,output,nic1,rx,2951942821,18528042,2951942821,18528042,0,0
1398852539.557378,tee,out2,filter,input,2948726558,18507852,2948726558,18507852,0,0
1398852539.557378,tee,out1,limit,input,2948726558,18507852,2948726558,18507852,0,0
1398852539.557378,nic2,tx,tee,in,2948726558,18507852,2948726558,18507852,0,0
1398852539.557378,filter,output,sink2,in,56673098,689733,56673098,689733,0,0
1398852539.557378,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852539.557378,limit,output,sink1,in,2078527963,13046117,2078527963,13046117,0,0
1398852540.561356,repeat,output,nic1,rx,3171186198,19904130,3171186198,19904130,0,0
1398852540.561356,tee,out2,filter,input,3167968411,19883940,3167968411,19883940,0,0
1398852540.561356,tee,out1,limit,input,3167968411,19883940,3167968411,19883940,0,0
1398852540.561356,nic2,tx,tee,in,3167968411,19883940,3167968411,19883940,0,0
1398852540.561356,filter,output,sink2,in,60886839,741016,60886839,741016,0,0
1398852540.561356,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852540.561356,limit,output,sink1,in,2177222424,13665584,2177222424,13665584,0,0
1398852541.560569,repeat,output,nic1,rx,3368242374,21140971,3368242374,21140971,0,0
1398852541.560569,tee,out2,filter,input,3365025852,21120781,3365025852,21120781,0,0
1398852541.560569,tee,out1,limit,input,3365025852,21120781,3365025852,21120781,0,0
1398852541.560569,nic2,tx,tee,in,3365025852,21120781,3365025852,21120781,0,0
1398852541.560569,filter,output,sink2,in,64674205,787110,64674205,787110,0,0
1398852541.560569,pcap,output,repeat,input,25651,161,25651,161,0,0
1398852541.560569,limit,output,sink1,in,2277223346,14293261,2277223346,14293261,0,0
1398852542.557036,repeat,output,nic1,rx,3586180305,22508868,3586180305,22508868,0,0
1398852542.557036,tee,out2,filter,input,3582963723,22488678,3582963723,22488678,0,0
1398852542.557036,tee,out1,limit,input,3582963723,22488678,3582963723,22488678,0,0
